DIRECTORID	NAME	TITLES
nm0601619	Michael Moore	Bowling for Columbine, Fahrenheit 9/11, Sicko, Where to Invade Next
nm0768959	Dan Scanlon	Brave, Monsters University, Onward
nm11381266	Devanshi Singh	Brazen Epiphany
nm0173728	Luigi Comencini	Bread, Love and Dreams, Cercasi Gesù, Everybody Go Home!, Voltati Eugenio
nm5027657	Jim Archer	Brian and Charles
nm1871490	Paul Kampf	Brothers Three: An American Gothic, Imprisoned
nm0502391	Umberto Lenzi	Brothers Till We Die, Cannibal Ferox, Ghosthouse, SuperSeven Calling Cairo
nm4906332	Z.F. Skurcz	Bulgarski Poscikk
nm0552140	Darnell Martin	Cadillac Records, Do the Right Thing, I Like It Like That
nm0664499	Adrian Pasdar	Carlito's Way, Near Dark, Top Gun
nm0119541	Valerie Buhagiar	Carmen, Cypher
nm0364389	Wendell B. Harris Jr.	Chameleon Street, Out of Sight, Road Trip
nm0004454	Jean Boyer	Chocolat
nm3953059	David Osmond	Christmas with the Chosen: The Messengers
nm2884474	Laura Terruso	Codependent Lesbian Space Alien Seeks Same, Fits and Starts, Good Girls Get High, Hello, My Name Is Doris
nm5831893	Han Jun-hee	Coin Locker Girl, Hit-and-Run Squad, The Gifted Hands
nm0162034	Ron Cicero	Color of Night, Happy Happy Joy Joy: The Ren & Stimpy Story, Stargate
nm0765121	Joseph Sargent	Colossus: The Forbin Project, Jaws: The Revenge, Nightmares, The Taking of Pelham One Two Three
nm0805205	Michael Sládek	Con Artist
nm0000318	Tim Burton	Corpse Bride, Edward Scissorhands, Frankenweenie, Sweeney Todd: The Demon Barber of Fleet Street
nm0064247	Thomas Beatty	Crank, Gamer, The Big Ask, The Midnight Meat Train
nm5255219	Nick Flugge	Cul-De-Sac
nm0509409	Robert Lieberman	D3: The Mighty Ducks, Falling Skies, Fire in the Sky
nm0451008	Mojgan Khadem	Dark City, Hotel Mumbai, I Am Mother, The Rover
nm6163057	Jai Love	Dead Hands Dig Deep, Mad Max: Fury Road, The Homesman
nm0931747	Sue Williams	Death by Design
nm0233123	Valérie Donzelli	Declaration of War
nm1724964	Annina Furrer	Dem Himmel zu nah
nm0554228	Walter P. Martishius	Demolition Man, Terminator 2: Judgment Day, The House with a Clock in Its Walls, The Specialist
nm0026339	Andy Anderson	Detention, Positive I.D.
nm3202710	John Conatser	Disgruntled
nm0157424	Valeri Chikov	Don't Play the Fool..., Ne poslat li nam... gontsa?
nm1273344	Petra Biondina Volpe	Dreamland, The Divine Order
nm0259499	Metin Erksan	Dry Summer, Intikam Melegi / Kadin Hamlet
nm0330026	Bert I. Gordon	Empire of the Ants, The Amazing Colossal Man, The Food of the Gods, The Mad Bomber
nm0102873	Harry Bradbeer	Enola Holmes, Enola Holmes 2
nm7158029	Jamie Roberts	Escape from Kabul, Four Hours at the Capitol
nm9884888	Rebecca Halfon	Esther
nm9351483	Ed Kirk	Future Soldier
nm0643882	Peter Odabashian	Getting Back to Abnormal
nm0887635	Kees Van Oostrum	Gettysburg, Nights in Rodanthe, Return to Lonesome Dove, Thinner
nm0638762	Andy Nyman	Ghost Stories, Judy, Wicked
nm1172198	Claudio Gregori	Gli idoli delle donne
nm0756898	Robert Saitzyk	Godspeed
nm0709182	Jorge Ramírez Suárez	Good Day, Ramon
nm5802340	Tomoaki Akune	Hana's Miso Soup, Pecoross' Mother and Her Days
nm0274319	Flamarion Ferreira	He-Man and She-Ra: The Secret of the Sword
nm0899329	Norton Virgien	Heavy Metal, Willow
nm3449927	Kevan Funk	Hello Destroyer
nm10118100	Ljubomir Stefanov	Honeyland
nm9118043	Calmatic	House Party, White Men Can't Jump
nm7811817	A.R. Mohan	Itlu Maredumilli Prajaneekam
nm1267643	Michal Balcerzak	Kariera Nikosia Dyzmy, Nocna zmiana
nm8967959	Zheniskhan Momyshev	Kazakh Business in America
nm2072440	Nicolas Maury	Knife + Heart, My Best Part, Paris, Je T'aime
nm1469191	Tim Kirkby	Last Looks
nm2331593	Chris Scheuerman	Lost Solace
nm0452487	Chris Kiely	As Time Goes by, Future Schlock
nm0491671	Gérard Lauzier	Asterix and Obelix vs. Caesar, My Father the Hero
nm0538032	Anton Giulio Majano	Atom Age Vampire
nm0904036	Antun Vrdoljak	Atomic War Bride, Duga mracna noc
nm0437802	Ellie Kanner	Authors Anonymous
nm2556052	Lars Jacobson	Baby Blues, Day of the Dead: Bloodline
nm0066996	Melissa Behr	Bad Channels, Gabe the Cupid Dog, Me and Will
nm0136818	Leo Garen	Band of the Hand, Hex
nm7683176	Jason Saltiel	Beach House
nm4016307	Wayne Lennox	Beacon77, Stoner Express
nm5122731	Bryan Carzan	Beauty the Ape Wife, Civil Love
nm0625458	Jessie Nelson	Because I Said So, I Am Sam, So I Married an Axe Murderer
nm2295945	Maryam Goormaghtigh	Before Summer Ends
nm0339026	Timothy Greenfield-Sanders	Being John Malkovich, Toni Morrison: The Pieces I Am
nm0066066	Narendra Bedi	Benaam
nm0760131	Keith Samples	Big Night, Election, Love Lies Bleeding
nm0406687	Leon Ichaso	Bitter Sugar, El Super, Piñero
nm2967250	Dikayl Rimmasch	Black Is King, Homecoming: A Film by Beyoncé
nm1442694	Brant Sersen	Blackballed: The Bobby Dukes Story, Sanatorium, Splinterheads
nm0687655	Scott P. Plummer	Bloodletting, Chickboxer, Robot Ninja
nm1825897	Daniel Hoesl	Bloodsuckers - A Marxist Vampire Comedy, WiNWiN
nm2776774	Alma Har'el	Bombay Beach, Honey Boy, LoveTrue
nm0262923	Josh Evans	Born on the Fourth of July, Ricochet, The Doors, The Price of Air
nm11381272	Aaron Pereira	Brazen Epiphany
nm1573141	Tomas Lindh	Breaking the Cycle
nm0972104	Peter Sattler	Broken Diamonds, Camp X-Ray, The Exorcist: Believer
nm0388113	Tim Hodge	Brother Bear, Jonah: A VeggieTales Movie, Mulan
nm3652218	Adrián Cardona	Brutal Relax
nm4273026	Sean Jackson	Bubblegum & Broken Fingers
nm4058078	Richard Dewey	Burden
nm4895233	Tyler Cornack	Butt Boy, Tiny Cinema
nm10939329	Huynh Tuan Anh	Butterfly House
nm0696385	Robert Thomas Preston	By God's Grace, Obscura
nm0688040	Porfiri Podobed	By the Law, Holiday of St. Jorgen, The Extraordinary Adventures of Mr. West in the Land of the Bolsheviks
nm0619923	Olivier Nakache	C'est la vie!, The Intouchables, The Specials
nm2141601	Christopher Presswell	Candlestick
nm0117709	Daniel Brühl	Captain America: Civil War, Good Bye Lenin!, Inglourious Basterds, Rush
nm0002031	Michael Curtiz	Captain Blood, Casablanca, The Adventures of Robin Hood, White Christmas
nm1210118	Ho-Leung Lau	Caught in Time, Painted Skin, Three
nm12409143	Jacob Michael King	Caviar
nm3077906	Arvi	Cerebrum
nm7017062	Evgeniy Shelyakin	Ch/B, Good as New, Pyatnitsa
nm1992722	Peter Djigirr	Charlie's Country, Ten Canoes
nm0329218	Robert Raphael Goodman	Choke
nm1435839	Brian Iglesias	Chosin, The Burnt House
nm1991486	Maryam Keshavarz	Circumstance
nm0849465	Gorô Taniguchi	Code Geass: Lelouch of the Re;Surrection, One Piece Film: Red
nm1366561	Mads Brügger	Cold Case Hammarskjöld, The Ambassador, The Mole: Undercover in North Korea, The Red Chapel
nm1471372	Richard Wong	Colma: The Musical, Come As You Are, Yes, We're Open
nm0133075	Giacomo Campiotti	Come due coccodrilli
nm1481618	Peter Landesman	Concussion, Kill the Messenger, Parkland
nm0795864	Herman Shumlin	Confidential Agent, Inherit the Wind, The Little Foxes, Watch on the Rhine
nm5094757	Craig Newman	Cruel Summer
nm0422367	Lou Jeunet	Curiosa
nm2432996	Zachary Treitz	Daddy Longlegs, Frances Ha, Men Go to Battle
nm2563482	Ronald Bronstein	Daddy Longlegs, Good Time, Uncut Gems
nm0531231	Ferdia MacAnna	DannyBoy
nm2233380	Al Randall	Dark Fields
nm0378110	Jean-François Hensgens	Dark Tide, District 13: Ultimatum, Tueurs
nm1855384	David Sieveking	David Wants to Fly, Vergiss mein nicht
nm0678031	Luigi Petrini	Day of Violence, White Pop Jesus
nm2819700	Adam Boster	Dazed and Confused
nm0494104	Gabriel Le Bomin	De Gaulle, Fragments of Antonin
nm5709751	Heriberto Fiorillo	De amores y delitos: Amores ilícitos
nm2099213	Andrew Wiest	Dead Noon
nm0347086	John Guillermin	Death on the Nile, King Kong, The Towering Inferno
nm3976156	Juergen Kling	Deathcember
nm3907742	Beniamino Barrese	Departure, Sodom, The Disappearance of My Mother
nm0719208	Chris Renaud	Despicable Me, Despicable Me 2, Minions, Minions: The Rise of Gru
nm10274640	Andy Stapp	Destination Marfa
nm1016489	Richard Prince	Destricted, Vortex
nm3963257	Se-woong Tak	Devil in the Lake
nm2050878	Surender Reddy	Dhruva, Kick, Oosaravelli, Race Gurram
nm0224791	Gabriel Diani	Diani & Devine Meet the Apocalypse, The Selling
nm2510985	Cat Solen	Don Jon, The Shivering Truth
nm3222789	Drue Metz	Don Quixote, Ocean Boy
nm0166625	Graeme Clifford	Don't Look Now, The Postman Always Rings Twice, The Rocky Horror Picture Show
nm2950998	Justin Trefgarne	Dorian Gray, Narcopolis, Pride & Prejudice
nm1352003	Songyos Sugmakanan	Dorm, My Girl, Phobia 2, The Billionaire
nm0326020	John Goldschmidt	Dough
nm0318105	John Gilbert	Downstairs, Love, The Big Parade, The Show
nm0405374	Hyung-rae Shim	Dragon Wars: D-War, The Last Godfather
nm0544191	Mircea Mantta	DuckTales the Movie: Treasure of the Lost Lamp
nm10635936	Xiaogang Gu	Dwelling in the Fuchun Mountains
nm0944529	Tieli Xie	Early Spring
nm0323239	Will Gluck	Easy A, Friends with Benefits, Peter Rabbit
nm0000626	John Sayles	Eight Men Out, Lone Star, Men with Guns, The Brother from Another Planet
nm2187552	Manuel Muñoz Rivas	El mar nos mira de lejos
nm0680782	Sean MacLeod Phillips	Encounter in the Third Dimension, Sea Monsters: A Prehistoric Adventure
nm1288490	Adrian Scartascini	Eternal Sunshine of the Spotless Mind, The Work of Director Michel Gondry
nm3615178	Xavier Baig	Eugenio
nm8456831	Patrick Allgaier	Far. The Story of a Journey Around the World
nm0440052	Abai Karpykov	Fara
nm1141314	Mitra Farahani	Fifi Howls from Happiness
nm0037874	Natasha Arthy	Fighter
nm0316581	Nick Gibbons	Final Deployment 4: Queen Battle Walkthrough, Horton Hears a Who!, Jimmy Neutron: Boy Genius, Robots
nm6085663	Pete Thomas	Finding Jack Charlton
nm0236601	Adama Drabo	Fire!
nm4803267	Omar Mullick	Flight/Risk, These Birds Walk
nm2489519	Andrew Walkington	For Love's Sake
nm0000398	Sally Field	Forrest Gump, Lincoln, Smokey and the Bandit, Steel Magnolias
nm0603588	Gaël Morel	Full Speed, Three Dancing Slaves, Wild Reeds
nm1159782	Seiji Mizushima	Fullmetal Alchemist the Movie: Conqueror of Shamballa, Mobile Suit Gundam 00: A Wakening of the Trailblazer
nm0233827	Dody Dorn	Fury, Insomnia, Memento, The Abyss
nm3758453	Radha Krishna Jagarlamudi	Gabbar Is Back, Kanche, Vedam
nm4558637	Mukund Pandey	Gang Leader, L7, Manam
nm0019842	Tom-Dariusch Allahyari	Geboren in Absurdistan
nm2384597	Mark Mann	Generation Um...
nm0434298	Philipp Kadelbach	Generation War, Naked Among Wolves
nm2400342	Christian Keller	Gloria
nm2443600	Lisa Barros D'Sa	Good Vibrations, Ordinary Love
nm0006889	Herbert Ross	Goodbye, Mr. Chips, Steel Magnolias, The Goodbye Girl, The Turning Point
nm2181149	Sergey Osipyan	Great Poetry, Yavlenie prirody
nm0261056	Fernando Espinoza	Gregorio, Juliana
nm0644489	Nerses Hovhannisyan	Harsnatsun hyusisits
nm9282974	Ga-Young Jeong	Heart
nm0419411	Jean-Jacques Jauffret	Heat Wave
nm9581263	Jack McHenry	Here Comes Hell
nm0402601	Philip Hunt	Here We Are: Notes for Living on Planet Earth
nm3936005	Antoine Thomas	Hidden 3D
nm0264624	Teresa Fabik	Hip hip hora!, Starring Maja
nm3676311	Remi Weekes	His House
nm0786732	Paul Seydor	Hollywood Homicide, Obsessed, The Wild Bunch: An Album in Montage, Turner & Hooch
nm2372955	Christopher C. Young	Homeland
nm1742413	Kaya Redford	Homeless in America, Supercross
nm2738755	Dutch Marich	Horror in the High Desert, Horror in the High Desert 2: Minerva, Infernum
nm0478194	Torsten Künstler	Hot Dog, Kokowääh 2, The Break Up Man
nm2539067	Yoo-sung Kim	Hot for Teacher
nm0448915	Erle C. Kenton	House of Dracula, House of Frankenstein, Island of Lost Souls, The Ghost of Frankenstein
nm3812610	Russudan Glurjidze	House of Others
nm8130839	Zachary Sage	How to Get Girls, Shangri-La Suite, This Is Our Home
nm1211888	Renée Webster	How to Please a Woman
nm0497631	Lee Jung-jae	Hunt, New World, The Face Reader
nm0693844	Eléonore Pourriat	I Am Not an Easy Man, Oppressed Majority
nm1166930	Juergen Peretzki	I Believe
nm1301449	Diane Obomsawin	I Like Girls
nm0223581	Sylvain Dhomme	I Love You, I Love You, The Seven Deadly Sins
nm2794139	Christopher Makoto Yogi	I Was a Simple Man
nm0961520	Spencer Parsons	I'll Come Running, Saturday Morning Mystery
nm0385861	Jorge Hinojosa	Iceberg Slim: Portrait of a Pimp, Something from Nothing: The Art of Rap
nm0709726	Felix Randau	Iceman
nm0321654	David Gladwell	If...., Requiem for a Village
nm0893872	Carlo Verdone	Il mio miglior nemico, Me, Them and Lara, The Great Beauty, Un sacco bello
nm0463988	Gottfried Kolditz	In the Dust of the Stars
nm1496554	Joe Hendrick	Instructions Not Included
nm10532213	Dennis Brown	It's a Hard Truth Ain't It
nm1352510	Denis Delic	Ja wam pokaze!, Squadron 303
nm0485016	Franck Landron	Jean de Florette, Les textiles
nm1093034	Mitch Corber	John Cage: Man and Myth
nm1315434	Nina Paley	Kahlil Gibran's The Prophet, Seder-Masochism, Sita Sings the Blues
nm2208579	Umin Boya	Kano, Warriors of the Rainbow: Seediq Bale I
nm1069778	Asghar Massombagi	Khaled
nm0912192	David W. Warfield	Kill Me Again, Rows
nm0634811	Omid Nooshin	Kill Switch, Last Passenger
nm1425585	Shiboprosad Mukherjee	Konttho
nm0256820	Sylke Enders	Kroko
nm0897118	Jean Vigo	L'Atalante, Zero for Conduct, À Propos de Nice
nm0408650	Roberto Infascelli	La polizia sta a guardare, Last Stop on the Night Train, Puzzle
nm0541896	Neil Mandt	Last Stop for Paul
nm1424878	Ed Gass-Donnelly	Lavender, Small Town Murder Songs, This Beautiful City
nm0959916	Pierre Étaix	Le Grand Amour, The Suitor, Yoyo
nm0246009	Carol Dysinger	Learning to Skateboard in a Warzone (If You're a Girl)
nm3946993	Joseph Michael	Life in a Day, The Hobbit: An Unexpected Journey, The Hobbit: The Battle of the Five Armies, The Hobbit: The Desolation of Smaug
nm1748956	Cyril Legann	Like a Brother
nm0589428	Thomas G. Miller	Limited Partnership, Making Waves: The Art of Cinematic Sound
nm0530622	Pål Løkkeberg	Liv
nm0703361	John Quested	Loophole, The Lion in Winter, To End All Wars
nm0348827	Nikolai Gusarov	Loshadi v okeane
nm6728657	Ko Kyoung	Love Lesson
nm0396136	Robert Hossein	Love on a Pillow
nm1662693	Ricardo de Montreuil	Lowriders, Mancora
nm5768434	Jorge Diaz de Bedoya	Luna de cigarras
nm7713357	Sky Hopinka	Malni: Towards the Ocean, Towards the Shore
nm6767246	Jae-Young Shin	Manhole
nm0494569	Eric Le Roch	Mariage chez les Bodin's
nm0000981	James Brolin	Capricorn One, The Amityville Horror, Traffic, Westworld
nm0443842	David Keane	City Slickers, Misery
nm0903745	Rand Vossler	Critters 2: The Main Course, Demon Legacy, Natural Born Killers
nm0491626	Georges Lautner	Crooks in Clover, The Professional
nm4662682	Lisa Immordino Vreeland	Diana Vreeland: The Eye Has to Travel, Love, Cecil, Peggy Guggenheim: Art Addict, Truman & Tennessee: An Intimate Conversation
nm10155420	Maria Veijalainen	Diva of Finland
nm6947496	Augustus Meleo Bernstein	Dreadspace
nm1785658	Maksim Korostyshevsky	Dura, Soldiers of Fortune
nm5323949	Laura Checkoway	Edith+Eddie
nm1195672	Mark Moskowitz	Electile Dysfunction: Inside the Business of American Campaigns, Stone Reader
nm4030349	Pete McGrain	Ethos
nm1725155	Greg Franklin	EuroTrip, Guava Island, The SpongeBob Movie: Sponge Out of Water
nm1301709	Ana Piterbarg	Everybody Has a Plan
nm3256879	Travis Bible	Exit Strategy
nm0138034	Trent Carlson	Fido, The Delicate Art of Parking
nm0634602	Tetsuya Nomura	Final Fantasy VII: Advent Children
nm0443329	John Kaye	Forever Lulu, Where the Buffalo Roam
nm0445129	Alexandra-Therese Keining	Girls Lost, Kiss Me
nm0001366	Leslie Howard	Gone with the Wind, It's Love I'm After, Mister V, Pygmalion
nm1638157	Frank Lotito	Growing Up Smith
nm4457618	John Rocco	Happy Times, The Night Sitter
nm0875710	Liz Tuccillo	He's Just Not That Into You, How to Be Single, Take Care
nm0575395	Burt Medall	He-Man and She-Ra: The Secret of the Sword
nm0000041	Akira Kurosawa	High and Low, Kagemusha: The Shadow Warrior, Ran, The Hidden Fortress
nm0353970	Steven Hahn	Honey, I Shrunk the Kids, Starchaser: The Legend of Orin, The Forbidden Kingdom
nm0426037	Rebecca Johnson	Honeytrap
nm0832823	Larry N. Stouffer	Horror High, Keep My Grave Open
nm0114351	Nicolas Brown	Human Planet, The Serengeti Rules
nm2155757	Josh Cooley	Inside Out, Toy Story 4, Up
nm3314364	Aaron Newman	Iran Is Not the Problem
nm0046275	Bae Chang-ho	Jeong
nm0101810	Joe Boyd	Jimi Hendrix, Scandal, Taking Woodstock
nm1064292	Craig Roberts	Just Jim, Neighbors, Submarine, The Fundamentals of Caring
nm0514904	Chia-Hui Liu	Kill Bill: Vol. 1, Kill Bill: Vol. 2, The 36th Chamber of Shaolin, The Man with the Iron Fists
nm4543557	Caye Casas	Killing God
nm2010936	Damien Power	Killing Ground, No Exit
nm1436630	Matías Moltrasio	Killing Sarai
nm4665158	Dennis Alexander Nicholson	Kitty Mammas, Pompeii
nm3320195	Matthew Bauckman	Kung Fu Elliot
nm0347038	Pierre Erwan Guillaume	L'ennemi naturel
nm0396391	Michel Houellebecq	La possibilité d'une île, Whatever
nm8817402	Sylvie Faiveley	Le Versailles secret de Marie-Antoinette
nm0899501	Paolo Virzì	Like Crazy, The First Beautiful Thing, Tutta la vita davanti
nm1631468	Charlotte Vandermeersch	Loft, The Eight Mountains
nm0419877	Rodrigue Jean	Lost Song, Love in the Time of Civil War
nm1589702	Hua-Tao Teng	Love is Not Blind
nm0615814	Victoria Muspratt	Macon County Jail
nm0111299	Konstantin Bromberg	Magicians, The Adventures of the Electronic
nm0135066	Robert Capelli Jr.	Mail Order Bride
nm0217325	Jeffrey Dell	Man in a Cocked Hat
nm0260871	Dwain Esper	Marihuana, Sex Madness
nm0455938	Teinosuke Kinugasa	Gate of Hell
nm5777983	Kristelle Laroche	Gnarly in Pink
nm0404606	Brian G. Hutton	High Road to China, Kelly's Heroes, Night Watch, Where Eagles Dare
nm0332950	Ashutosh Gowariker	Jodhaa Akbar, Lagaan: Once Upon a Time in India, Mohenjo Daro, Swades
nm2308774	Destin Daniel Cretton	Just Mercy, Shang-Chi and the Legend of the Ten Rings, Short Term 12, The Glass Castle
nm0302791	Andrew Gallerani	Just Write
nm1387503	Martha Stephens	Land Ho!, Pilgrim Song, To the Stars
