WRITERID	NAME	TITLES
nm1318578	Tannishtha Chatterjee	Anna Karenina, Brick Lane, Parched, Roam Rome Mein
nm0756944	Susumu Saji	Antarctica, Eight Below, Underworld Beauty
nm0920067	Paul Wellman	Apache, Jubal, The Comancheros, The Iron Mistress
nm0380282	Michael Herr	Apocalypse Now, Full Metal Jacket, The Rainmaker
nm0129555	Gianluigi Calderone	Appassionata, Love Under the Elms
nm2904191	Soyoung Lee	Apt, Robot Sound
nm1075468	Dana Snyder	Aqua Teen Hunger Force Colon Movie Film for Theaters
nm3263825	Will Beall	Aquaman, Gangster Squad, Zack Snyder's Justice League
nm1544425	Luke Massey	Armistice
nm3470753	Kurt Kelly	Assassins Run
nm1594248	Alexandre Astier	Asterix and Obelix: Mansion of the Gods, Asterix: The Secret of the Magic Potion
nm0223924	Gianni Di Gregorio	Astolfo, Citizens of the World, Gomorrah, Mid-August Lunch
nm2125577	Frank L. Anderson	Aswang, Modus Operandi, The Life of Reilly
nm0529792	Javier López Blanco	At the End of the Tunnel, May God Save Us, The Candidate
nm1255286	Benjamin Weill	Athena, Babylon A.D., Point Blank, West Coast
nm0613487	Ryû Murakami	Audition, Tokyo Decadence
nm1965972	Konstantin Bojanov	Avé
nm0652541	Gennadiy Ostrovskiy	Ayka, Bednye rodstvenniki
nm9328108	J. Ramakrishna Kulur	B. Tech
nm0515282	Paul Livingston	Babe, Happy Feet Two, The Navigator: A Medieval Odyssey
nm5774530	Catherine Léger	Babysitter, Slut in a Good Way
nm2696142	Kevin Tavolaro	Babysitter Must Die
nm1569349	Mimi Branescu	Back Home, Summer Holiday, Tuesday, After Christmas
nm5637188	Neil Hayes	Bad Genius, When the Game Stands Tall
nm5447183	Claudia Huaiquimilla	Bad Influence
nm2684798	Hamilton Craig	Banaz: A Love Story
nm0187823	Gordon Crier	Band Waggon
nm14311585	Suttipong Muttanavee	Bang Rajan
nm3450267	Raimund Huber	Bangkok Adrenaline, Who's Watching Oliver
nm0560899	Hamilton Maule	Banning
nm1733756	John D'Arco	Barely Lethal
nm0066289	John Beech	Battletruck
nm0156533	Nick Cheung	Beast Stalker, Keeper of Darkness, Unbeatable
nm3423115	Florent Gouëlou	Beauty Boys, Three Nights a Week
nm0426108	Robert Lee Johnson	Beerfest
nm1735543	Ry Russo-Young	Before I Fall, The Sun Is Also a Star
nm3016089	Hannah Pearl Utt	Before You Know It
nm0673297	Maggie Peren	Before the Fall, Die Farbe des Ozeans, Kiss and Run, The Forger
nm0876432	Jim Tully	Beggars of Life
nm4569247	Norman Alston	Behind the Sightings
nm1633164	Anna Singer	Behind the Wall, Famous Nathan, MXP: Most Xtreme Primate
nm0136950	Ernestine Gilbreth Carey	Belles on Their Toes, Cheaper by the Dozen, Cheaper by the Dozen, Cheaper by the Dozen 2
nm0384886	Fredrik Hiller	Beowulf
nm0023070	Asier Altuna	Bertsolari, When a Tree Falls
nm1257362	Bálint Hegedûs	Bet on Revenge, Fluke, X - The eXploited
nm0286557	Ernesto Foronda	Better Luck Tomorrow, Fast & Furious, The Fast and the Furious: Tokyo Drift
nm0790519	Donald Shebib	Between Friends, Down the Road Again, Goin' Down the Road
nm0706953	K.K. Raina	Bhaag Milkha Bhaag, China Gate, Lakshya, Rang De Basanti
nm3801377	Peter Vass	Bigfoot Famous, Laid in America
nm8024751	Ramanagirivasan	Bigil, Jawan, Mersal, Theri
nm0545085	Scott Marcano	Bio-Dome
nm0429734	Hella Joof	Bitter Sweetheart, Shake It All About
nm0426870	Tucker Johnston	Blood Salvage
nm0458413	Annette Curtis Klause	Blood and Chocolate
nm0404396	Ron Hutchinson	Blue Ice, The Island of Dr. Moreau
nm4932043	Jul Maroh	Blue Is the Warmest Colour
nm0514852	Renata Litvinova	Boginya: kak ya polyubila, Nebo. Samolyot. Devushka., Peterburg. Tolko po lyubvi, Poslednyaya skazka Rity
nm0334601	Sam Grana	Bones of Crows, The Boys of St. Vincent
nm0593039	Merata Mita	Boy, Mauri
nm3800834	Michael Babbitt	Broken Swords: The Last in Line
nm1030375	Stanya Kahn	By Hook or by Crook
nm4871072	Rita Spionjak	Caedes
nm2303947	Mike Kime	Can Mr. Smith Get to Washington Anymore?
nm5632219	Patrik Witkowsky	Can We Do It Ourselves?
nm0712753	Billy Ray	Captain Phillips, Shattered Glass, Terminator: Dark Fate, The Hunger Games
nm0848092	C.M. Talkington	Captain Ron, Love and a .45
nm2564573	Luis Nieto	Carlitopolis
nm3456910	David Barlow-Krelina	Caterpillarplasty
nm0289833	Michael France	Cliffhanger, Fantastic Four, GoldenEye, The Punisher
nm0734083	Rosine Rochette	Cousin, Cousine, La provinciale, Mr. Klein
nm2652743	Kai Ming Man	Crime Story, Young and Dangerous 2
nm0594323	Miyuki Miyabe	Crossfire, Solomon's Perjury
nm0193009	Barbara Turner	Cujo, Hemingway & Gellhorn, Pollock
nm9202518	Yasar Al	Dabbe 6: The Return
nm0059172	Jim Barton	Dark Blood
nm0371067	Jeremiah Hayes	Dear Audrey, Reel Injun
nm3557767	Kawal Soni	Delhi in a Day
nm0704588	Arthur Qwak	Dragon Hunters
nm0326643	Vladimir Golovanov	Dunno on the Moon
nm0024816	Joaquín Amichatis	Edge of the Axe, El televisor
nm0656003	Michael J. Pagan	Fallen, Forever Strong, Gridiron Gang, See No Evil
nm1451437	Patrick Senécal	7 Days
nm0116254	Valeria Bruni Tedeschi	A Castle in Italy, Il est plus facile pour un chameau..., Like Crazy
nm0049641	David Baldacci	Absolute Power, Wish You Well
nm0221366	James Desmarais	Action U.S.A., Victim of Love
nm0954702	Rina Zelyonaya	Adventures of Sherlock Holmes and Dr. Watson: The Twentieth Century Approaches, Operation 'Y' & Other Shurik's Adventures
nm6250429	Craig Patrick	Ahockalypse, Dark Cloud, Zombie Spring Breakers
nm2524192	Justin Paul	Aladdin, La La Land, Spirited, The Greatest Showman
nm0236451	Mike Doyle	Almost Love, Jersey Boys
nm0949069	Hidetaka Yoshioka	Always: Sunset on Third Street, Always: Sunset on Third Street 2
nm4512241	Justin Scro	American Driller Killer
nm2973010	Justin Hunt	American Meth
nm0711544	Els Rastelli	An American Werewolf in Paris, Black Book, Brimstone, Kidnapping Mr. Heineken
nm7845554	Linda Castillo	An Amish Murder
nm4743113	Christa Pitts	An Elf's Story: The Elf on the Shelf
nm2913613	Bob Moore	Angry Inuk, Last Train Home
nm3911112	Rob Rose	Apparition, Stretch
nm0618084	Gani Müjde	Arabesque
nm6525905	Ruta Sepetys	Ashes in the Snow
nm0231319	Arielle Dombasle	Asterix and Obelix vs. Caesar, Pauline at the Beach
nm3003564	Leonardo Warner	Atlantis Down, Madhouse Mecca
nm0515301	Stanley Livingston	Attack of the 60 Foot Centerfolds, Private Parts, The Aftermath
nm8267846	Makbul Mubarak	Autobiography
nm0458462	Ross Klavan	Awake, Reservation Road, Tigerland, You Can Count on Me
nm0321254	Tony Gittelson	Awakenings, Searching for Bobby Fischer, Zelig
nm2592913	Mateo Garcia	Año uña, Desierto, Totem
nm1707805	Juwan Chung	Baby
nm0531595	Adam MacDonald	Backcountry, Pyewacket
nm0584221	Thomas Michael	Backcountry, Hank and Mike
nm0264685	Maurice Fabre	Backfire
nm0003244	Jordi Mollà	Bad Boys II, Blow, Criminal, Riddick
nm0821466	Jerry Stahl	Bad Boys II, Inland Empire, Zoolander
nm2279430	Amit Ravindernath Sharma	Badhaai Ho, Lust Stories 2
nm0717094	Denis Reichle	Ballad of the Little Soldier
nm0912431	Chris Warner	Barb Wire
nm0775447	Barbet Schroeder	Barfly, Murder by Numbers, Our Lady of the Assassins, Single White Female
nm0552979	Robert Martin	Basket Case 3, Frankenhooker
nm6218684	Egor Olesov	Battle for Sevastopol, Mr. Jones
nm0495898	James Lebrecht	Battlefield Earth, Crip Camp, Dragon: The Bruce Lee Story, The Skulls
nm4603521	Felix Chan	Beach Spike, Sky Force
nm4056825	Alexandre Jollien	Beautiful Minds
nm0112647	Brian Brough	Beauty and the Billionaire, Not Cinderella's Type
nm4487892	Eva Lipman	Becoming Warren Buffett, Jim: The James Foley Story, ReMastered: Devil at the Crossroads
nm0216109	Bryant Delafosse	Bedhead
nm0883368	Athanassios Vakalis	Bee Movie, Dinner for Few, Flushed Away, Megamind
nm1503335	Myla Goldberg	Bee Season, Thinner
nm1810438	Mark Lo	Belle, Carol, The Devil's Double
nm0237785	Rosalyn Drexler	Below the Belt
nm1959340	Halder Gomes	Bem-vinda a Quixeramobim, Cine Holliúdy, O Shaolin do Sertão
nm0573905	Lesley McNeil	Benny & Joon, Lighthouse, Shooting Fish
nm1639704	Benjamin Cox	Better Off Single, Change in the Air, The Mimic
nm0070837	Bozidar D. Benedikt	Beyond the Seventh Door, The Graveyard Story
nm4415009	Pavan Kirpalani	Bhoot Police, Gaslight, Phobia
nm8317725	Maria Camila Arias	Birds of Passage, Candelaria, Clara Sola
nm1725183	John Kurland	Birth of the Beatles
nm0362731	René Hardy	Bitter Victory, Triple Cross
nm3239033	Rory Haines	Black Adam, The Mauritanian
nm7204984	Frederico Fernandez-Armesto	Black Box
nm2203754	Tensei Kono	Black Sun
nm0000921	Andrew Bergman	Blazing Saddles, Fletch, It Could Happen to You, Striptease
nm4623989	Min-seok Choi	Blind, My Brilliant Life
nm0015801	Aladár László	Blond Cheat, Girl Rush, Trouble in Paradise
nm0714215	Bill Rebane	Blood Harvest, Christmas at Rosemont, The Giant Spider Invasion
nm1747265	Lee Won-jae	Blood Rain, She's on Duty, The City of Violence
nm2538205	Michel Papet	Blood Ties
nm0898382	Nick Villiers	Blood and Wine, Sorted
nm0195091	Enzo D'Ambrosio	Bo Ba Bu, Shadows Unseen
nm0672060	D.A. Pennebaker	Bob Dylan: Dont Look Back, Only the Strong Survive, The War Room, Unlocking the Cage
nm3248112	Mario O. Moreno	Boogie
nm0679590	Robert Deane Pharr	Book of Numbers
nm1941895	Agatha Dominik	Boot Camp, Human Trafficking
nm1248824	Mark O'Rowe	Boy A, Broken, Intermission
nm0249291	Joel Edgerton	Boy Erased, The Gift, The Great Gatsby, The King
nm5718045	Tomas Nepomuceno	Brain on Fire, Falling Skies, RoboCop, Veronica
nm7603751	Michael Dowling	Brave New Jersey
nm0000416	Terry Gilliam	Brazil, Monty Python and the Holy Grail, Monty Python's the Meaning of Life, Time Bandits
nm0563240	Adam Mazer	Breach, Empire State, You Don't Know Jack
nm0320981	Marcello Girosi	Bread, Love and Dreams, Scandal in Sorrento, The Gold of Naples, The Montecarlo Story
nm2818287	Vinay Virmani	Breakaway, Dr. Cabbie, Little Italy, Two Lovers and a Bear
nm0571549	Julia McKenzie	Bright Young Things, Cranford, Notes on a Scandal
nm0280581	Peter Fitzpatrick	Brilliant Lies
nm9047732	Moe Lattouf	Broken Keys
nm1949943	Will Canon	Brotherhood, Demonic
nm1405076	Bryan McCann	Bullies
nm0435701	Michael Kalesniko	Burnt, How to Kill Your Neighbor's Dog, Iron Sky, Private Parts
nm0786733	Michel Seydoux	Burnt by the Sun, Close to Eden, Cyrano de Bergerac, Le chêne
nm0198804	Nick Damici	Bushwick, Dark Was the Night, The Stakelander
nm1072061	Joseph Frantz	CKY 3, Jackass 3D, Jackass Number Two
nm2781723	Jessica Cameron	Camel Spiders, The Sleeper, Truth or Dare
nm0370279	Shane Hawks	Camp Harlow, Lucky's Treasure, Saving Winston
nm2205334	Loïc Barrère	Carmen
nm0542554	Wolf Mankowitz	Casino Royale, Expresso Bongo, The Day the Earth Caught Fire, The Millionairess
nm0249006	Shane Edelman	Catch Me If You Can, Flightplan, He's Just Not That Into You, State of Play
nm0542735	Edward Mann	Cauldron of Blood, Hooch
nm1313865	Serhat Caradee	Cedar Boys
nm3846547	Prano Bailey-Bond	Censor
nm2811682	David Stassen	Central Intelligence
nm0855613	John Terlesky	Cerberus, Deathstalker II: Duel of the Titans, Guardian
nm0935253	Max Winkler	Ceremony, Flower, Jungleland
nm2752891	Charlotte Salomon	Charlotte
nm0731772	Cliff Robertson	Charly, Escape from L.A., Spider-Man, Three Days of the Condor
nm2192943	Anatoliy Dzivaev	Chermen, Teli and Toli
nm1304138	Mike Baudoncq	Chernobyl's café
nm0874020	Don Truckey	Chicks with Sticks, Net Worth
nm3954293	Eunice Omole	Chief Daddy
nm2490321	Bobby Mort	Circle of Pain, Scorched Earth
nm2198550	Steve Ippolito	City of Shadows
nm0113935	Julie Brown	Clueless, Earth Girls Are Easy
nm0624955	Tsubaki Nekoi	Code Geass: Lelouch of the Re;Surrection
nm2254127	Oh Sang-ho	Codename: Jackal
nm0365659	Jim Harrison	Cold Feet, Legends of the Fall, Revenge, Wolf
nm6804048	Torsten Wenzel	Colonia
nm0108745	James Bridges	Colossus: The Forbin Project, Perfect, The China Syndrome, The Paper Chase
nm0010696	Ales Adamovich	Come and See
nm2170816	Ute Werner-Thilo	Conrad: The Factory-Made Boy
nm0908326	Jordan Walker-Pearlman	Constellation, The Visit
nm0029510	Piero Angela	Control
nm0736942	Jean Scott Rogers	Corridors of Blood
nm4873470	Elliot Weaver	Cosmos
nm0465742	Michael Kopelow	Counter Clockwise, Point Break, The People Under the Stairs, The Stöned Age
nm0071165	Dominique Benicheti	Cousin Jules
nm0228119	Paula Diperna	Cousteau: Alaska: Outrage at Valdez
nm0158862	Peter Choi	Crank, Running Time, The Karate Kid
nm0533241	Alexander Mackendrick	Crash of Silence, Sweet Smell of Success, The Ladykillers, The Man in the White Suit
nm1726912	Shawn Rasmussen	Crawl, The Inhabitants
nm0592716	Anna Miserocchi	Cries & Whispers, Scarface, The Blues Brothers
nm0028959	M. Andriard	Crime on a Summer Morning
nm0795121	Trevor Short	Criminal, Hunter Killer, The Contract, The Hitman's Bodyguard
nm0081433	Fabián Bielinsky	Criminal, Nine Queens, The Aura
nm0012541	Nikkhil Advani	D-Day, Kal Ho Naa Ho
nm0097644	Donald Borza II	D.R.E.A.M. Team, Devil's Junction: Handy Dandy's Revenge
nm1840921	Radhika Rao	Dabangg, Lucky: No Time for Love, Sanam Teri Kasam
nm0826663	Molly Malene Stensgaard	Dancer in the Dark, Melancholia, Nymphomaniac: Vol. I, The House That Jack Built
nm1898344	Diego Savignano	Dark Web: Descent Into Hell
nm1376257	Megan Riakos	Dark Whispers: Volume 1
nm11996939	Tyler Tice	Day Shift
nm1626428	Murray Wais	Days of My Youth, McConkey
nm2819452	Ramon Isao	Dead Body, Junk, ZMD: Zombies of Mass Destruction
nm1125458	Fabrice Canepa	Dead End
nm1891241	Jean-Sébastien Lopez	Dead Man Talking
nm2482088	Tommy Wirkola	Dead Snow, Dead Snow 2: Red vs. Dead, The Trip, What Happened to Monday
nm0427415	Abel Jones	Death Journey, Dolemite
nm0232777	Thomas Michael Donnelly	Defiance, Quicksilver
nm0022581	Emmett Alston	Demonwarp, New Year's Evil, Nine Deaths of the Ninja
nm0750022	Jane Rule	Desert Hearts
nm16009626	Craig R. Boone	Detonator
nm1968975	Tim Alexander	Diary of a Tired Black Man
nm4175547	Brian Wecht	Dick Figures: The Movie, Red vs. Blue
nm2015906	Christina Kline	Dirty Dancing: Havana Nights, Michael Bolton's Big, Sexy Valentine's Day Special
nm1021622	Hathalee Higgs	Disappearances, Swedish Auto, The Year That Trembled
nm1753496	Gilles Gambino	District B13
nm0953508	John Zaritsky	Do You Really Want to Know?
nm1803036	C. Robert Cargill	Doctor Strange, Sinister, The Black Phone
nm0003761	Edward T. McDougal	Dog Jack
nm0206782	Drew Daywalt	Don't Let Go, Stark Raving Mad
nm0390691	George Holland	Don't Tell the Wife
nm0703446	Herbert Quick	Double Trouble
nm0396321	Joy N. Houck Jr.	Down by Law, Night of Bloody Horror, The Big Easy
nm0468715	Takao Koyama	Dragon Ball Z: The World's Strongest
nm0786073	Anya Seton	Dragonwyck, Foxfire
nm2327643	Ryan Steckloff	Driftwood, Who's Your Monkey?
nm0562201	Rik Mayall	Drop Dead Fred
nm0744839	Eric Roth	Dune: Part One, Forrest Gump, The Curious Case of Benjamin Button, The Insider
nm3672390	Manjari Makijany	Dunkirk, Mission: Impossible - Ghost Protocol, The Dark Knight Rises, Wonder Woman
nm6298587	Eliza Nimmo	Dynamite Chicken
nm0559422	Michiko Matsuda	EM Embalming
nm0632700	Lane Nishikawa	Eat a Bowl of Tea, Only the Brave, Village of the Damned
nm0946592	Seiichi Yashiro	Edo Porn
nm0914386	Peter Watkins	Edvard Munch, Privilege, Punishment Park, The War Game
nm1086113	Risa Mickenberg	Egg, The Independent
nm1352198	Patricio Vega	El gerente, Thesis on a Homicide
nm0667276	Alan Pauls	El pasado
nm0096813	Robert Boris	Electra Glide in Blue, Frank & Jesse, Oxford Blues
nm0321959	Joe Glass	Encounter with the Unknown, So Sad About Gloria
nm0834122	Khari Streeter	Enlighten Up!, Lift
nm5185659	Lisa Allen Keane	Epic, Ice Age: Collision Course, Spies in Disguise, Wreck-It Ralph
nm0097286	Marvin Borowsky	Escape in the Desert, Gambling House, Somewhere in the Night
nm0397220	Cy Howard	Every Little Crook and Nanny, That's My Boy
nm0850250	Taras Popov	Experimentum crucis
nm4092923	Hoi-Ying Cheung	Faithfully Yours
nm0117843	Brigitte Buc	Aline, Palais royal!
nm5137314	Guy Pilla	Appetites
nm2416172	Richard Meech	Ayahuasca: Vine of the Soul
nm4474409	Marina Morais	Bem-vinda a Quixeramobim
nm9446330	Aleksandra Primachenko	Beyond the Edge
nm4769480	Leonardo Velasco Uy	Blind Rage
nm2644670	Mickey Fonseca	Blood Diamond, Redemption
nm3482447	Frank Pestarino	Bones
nm0124808	Alex Butler	Buffy the Vampire Slayer, Waxwork II: Lost in Time
nm7356684	John Edward Williams	Butcher's Crossing
nm0619923	Olivier Nakache	C'est la vie!, The Intouchables, The Specials
nm0301829	Charles Gale	Captain Nuke and the Bomber Boys, Ernest Scared Stupid, Guilty as Charged, Making the Grade
nm0764373	José Santugini	Carne de horca, Tarde de toros
nm0830629	Sergio Stivaletti	Cemetery Man, Phenomena
nm0295264	Josh Friedman	Chain Reaction, War of the Worlds
nm0740270	Conrad Rooks	Chappaqua, Siddhartha
nm0002461	Mike Cheda	Chill Factor, The Shape of Things to Come, Why Shoot the Teacher?
nm1221248	Mauro Mariani	Cicciabomba, The Last Hunter, The Last Legion
nm3511659	Mikkel Brænne Sandemose	Cold Prey III, The Ash Lad: In Search of the Golden Castle
nm1193115	Amit Kumar	Colonia, Monsoon Shootout
nm0834460	Whitley Strieber	Communion, The Day After Tomorrow, The Hunger, Wolfen
nm3550020	Philip T. Johnson	Confessions of a Teenage Jesus Jerk, Einstein's God Model, Fell, Jumped or Pushed
nm7188967	Neil West	Containment
nm0873400	Ondřej Trojan	Cosy Dens, Identity Card, Zelary
nm6825417	Gex Williams	Ctrl+Alt+Dance
nm1280085	Vinnie LaRocksta	Da Sweet Blood of Jesus, Rocco
nm0764469	Miquel Sanz	Dalí, La ciutat cremada
nm0231639	Jeannine Dominy	Dangerous Beauty
nm0073871	Peter Berg	De Sade
nm2578683	Will Wallace	Dead Air, Teen Wolf: The Movie
nm6678974	Felipe Belalcazar	Death by Metal
nm7394996	Sam Wineman	Deathcember, The Quiet Room
nm2080272	Sonia Escolano	Deathcember
nm12674932	Sita Likitvanichkul	Deep
nm0779714	Robert Scott	Deep Cover, Dracula: Dead and Loving It, The Video Dead
nm3226240	Blanche Gardin	Delete History, Problemos
nm2040169	Adam Schindler	Delivery: The Beast Within, Intruders
nm4956141	J. Oskura Nájera	Diablo Rojo PTY, Fist of Jesus
nm0441631	Allan Aaron Katz	Diamonds
nm0453559	Kim Jeong-kwon	Ditto, Miracle of Giving Fool
nm0309979	Massimo Gaudioso	Dogman, Gomorrah, Primo amore, Tale of Tales
nm3418687	Vera Herbert	Don't Make Me Go
nm0431641	Odette Joyeux	Douce, Lettres d'amour, Sylvie et le fantôme
nm0639572	Glenn O'Brien	Downtown 81, Subway Riders, Wild Style
nm1761309	Keith Kjarval	Dragged Across Concrete, Inland Empire, No Way Out, The Driftless Area
nm1174251	Daniel Espinosa	Easy Money, Life, Morbius, Safe House
nm1242172	Rúnar Rúnarsson	Echo, Sparrows, Volcano
nm9601397	Elena Margaret Starace	Edhel
nm2459970	Michele Frantz	Eduardo and Monica
nm0763634	Roberto Santiago	El penalti más largo del mundo
nm2407226	Maija-Leena Ervasti	Elämän vonkamies
nm0140403	Léo Carrier	Emmanuelle II, Les hommes
