DIRECTORID|NAME|RESPOSTA|STATUS
nm2027066|Theo Davies|"{""IMDb_ID"":""nm2027066"",""Name"":""THEO DAVIES"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""GBR"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm4712424|Kawita Sareen|"{""IMDb_ID"":""nm4712424"",""Name"":""KAWITA SAREEN"",""Birthday"":""0000-00-00"",""Gender"":""FEMALE"",""Race"":""ASIAN"",""Nationality"":""GBR"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""BRITISH-INDIAN""}"|success
nm2815858|Zachary Edgerton|"{""IMDb_ID"":""nm2815858"",""Name"":""ZACHARY EDGERTON"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm0110293|Gaëtan Brizzi|"{""IMDb_ID"":""nm0110293"",""Name"":""GAETAN BRIZZI"",""Birthday"":""1957-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""FRA"",""Birthplace"":""PARIS, ILE-DE-FRANCE, FRA"",""Religion"":""CHRISTIANITY - CATHOLIC"",""Ethnicity"":""FR ENCH""}"|success
nm0263912|Hanns Heinz Ewers|"{""IMDb_ID"":""nm0263912"",""Name"":""HANNS HEINZ EWERS"",""Birthday"":""1871-11-03"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""DEU"",""Birthplace"":""DUSSELDORF, RHINELAND, DEU"",""Religion"":""UNKNOWN"",""Ethnicity"":""GER M A N""}"|success
nm3942723|Jason Mac|"{""IMDb_ID"":""nm3942723"",""Name"":""JASON MAC"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm0478172|Karsten Kiilerich|"{""IMDb_ID"":""nm0478172"",""Name"":""KARSTEN KIILERICH"",""Birthday"":""1956-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""DNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""DANISH""}"|success
nm0849011|Kinuyo Tanaka|"{""IMDb_ID"":""nm0849011"",""Name"":""KINUYO TANAKA"",""Birthday"":""1909-11-29"",""Gender"":""FEMALE"",""Race"":""ASIAN"",""Nationality"":""JPN"",""Birthplace"":""SHIMONOSEKI, YAMAGUCHI, JPN"",""Religion"":""NEW EASTERN RELIGIONS"",""Ethnicity"":""JAPANESE""}"|success
nm1426188|Mohsen Tanabandeh|"{""IMDb_ID"":""nm1426188"",""Name"":""MOHSEN TANABANDEH"",""Birthday"":""1971-01-01"",""Gender"":""MALE"",""Race"":""MIXED-RACE"",""Nationality"":""IRN"",""Birthplace"":""TEHRAN, TEHRAN, IRN"",""Religion"":""ISLAM"",""Ethnicity"":""IR Ani An""}"|success
nm0460127|André Klotzel|"{""IMDb_ID"":""nm0460127"",""Name"":""ANDRE KLOTZEL"",""Birthday"":""1950-00-00"",""Gender"":""MALE"",""Race"":""MIXED-RACE"",""Nationality"":""BRA"",""Birthplace"":""SAO PAULO, SAO PAULO, BRA"",""Religion"":""UNKNOWN"",""Ethnicity"":""BRAZILIAN OF EUROPEAN DESCENT""}"|success
nm3094978|Srdjan Spasojevic|"{""IMDb_ID"":""nm3094978"",""Name"":""SRDJAN SPASOJEVIC"",""Birthday"":""1976-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""SRB"",""Birthplace"":""BELGRADE, SERBIA, SRB"",""Religion"":""CHRISTIANITY - ORTHODOX"",""Ethnicity"":""SER Bi An""}"|success
nm0412999|Dariusz Jablonski|"{""IMDb_ID"":""nm0412999"",""Name"":""DARIUSZ JABLONSKI"",""Birthday"":""1961-01-01"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""POL"",""Birthplace"":""POLAND"",""Religion"":""CHRISTIANITY - CATHOLIC"",""Ethnicity"":""PO L IS H""}"|success
nm0001415|Elia Kazan|"{""IMDb_ID"":""nm0001415"",""Name"":""ELIA KAZAN"",""Birthday"":""1909-09-07"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""ISTANBUL, ISTANBUL, TUR"",""Religion"":""NO RELIGION"",""Ethnicity"":""GREEK-AMERICAN""}"|success
nm0544055|Henriette Mantel|"{""IMDb_ID"":""nm0544055"",""Name"":""HENRIETTE MANTEL"",""Birthday"":""1958-04-04"",""Gender"":""FEMALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""PONTIAC, MICHIGAN, USA"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm8088562|Lloyd Staszkiewicz|"{""IMDb_ID"":""nm8088562"",""Name"":""LLOYD STASZKIEWICZ"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""UNKNOWN"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UN KN OWN""}"|success
nm1685252|Ramana|"{""IMDb_ID"":""nm1685252"",""Name"":""RAMANA"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""ASIAN"",""Nationality"":""IND"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""INDIAN""}"|success
nm2423397|Elizabeth Ito|"{""IMDb_ID"":""nm2423397"",""Name"":""ELIZABETH ITO"",""Birthday"":""0000-00-00"",""Gender"":""FEMALE"",""Race"":""ASIAN"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""JAPANESE-AMERICAN""}"|success
nm2913570|Diana Lafyatis|"{""IMDb_ID"":""nm2913570"",""Name"":""DIANA LAFYATIS"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""UNKNOWN"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm0001162|Griffin Dunne|"{""IMDb_ID"":""nm0001162"",""Name"":""GRIFFIN DUNNE"",""Birthday"":""1955-06-08"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""NEW YORK CITY, NEW YORK, USA"",""Religion"":""CHRISTIANITY - CATHOLIC"",""Ethnicity"":""IRISH-AMERICAN""}"|success
nm0003572|William Olsen|"{""IMDb_ID"":""nm0003572"",""Name"":""WILLIAM OLSEN"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""UNKNOWN"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNK Ow N""}"|success
nm3293356|Elad Keidan|"{""IMDb_ID"":""nm3293356"",""Name"":""ELAD KEIDAN"",""Birthday"":""1975-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""ISR"",""Birthplace"":""UNKNOWN"",""Religion"":""JUDAISM"",""Ethnicity"":""ISRAELI JEWISH""}"|success
nm0614130|Brianne Murphy|"{""IMDb_ID"":""nm0614130"",""Name"":""BRIANNE MURPHY"",""Birthday"":""1933-10-06"",""Gender"":""FEMALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""LONDON, ENGLAND, GBR"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm15432988|Rahul Kamboj|"{""IMDb_ID"":""nm15432988"",""Name"":""RAHUL KAMBOJ"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""ASIAN"",""Nationality"":""IND"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""INDIAN""}"|success
nm0150749|Eric Champnella|"{""IMDb_ID"":""nm0150749"",""Name"":""ERIC CHAMPNELLA"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm0773985|Rick Calabash|"{""IMDb_ID"":""nm0773985"",""Name"":""RICK CALABASH"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""UNKNOWN"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm2756180|George D. Escobar|"{""IMDb_ID"":""nm2756180"",""Name"":""GEORGE D. ESCOBAR"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""CHRISTIANITY - PROTESTANT"",""Ethnicity"":""HISPANIC-AMERICAN""}"|success
nm0261528|Luis Esteban|"{""IMDb_ID"":""nm0261528"",""Name"":""LUIS ESTEBAN"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""HISPANIC-AMERICAN""}"|success
nm1729104|Bruno Forzani|"{""IMDb_ID"":""nm1729104"",""Name"":""BRUNO FORZANI"",""Birthday"":""1978-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""BEL"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""BELGI AN""}"|success
nm1818500|Calum Waddell|"{""IMDb_ID"":""nm1818500"",""Name"":""CALUM WADDELL"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""GBR"",""Birthplace"":""SCOTLAND, GBR"",""Religion"":""UNKNOWN"",""Ethnicity"":""SCOTTISH""}"|success
nm0139036|Ana Carolina|"{""IMDb_ID"":""nm0139036"",""Name"":""ANA CAROLINA"",""Birthday"":""1965-01-18"",""Gender"":""FEMALE"",""Race"":""WHITE"",""Nationality"":""BRA"",""Birthplace"":""SAO PAULO, SAO PAULO, BRA"",""Religion"":""UNKNOWN"",""Ethnicity"":""BRAZILIAN""}"|success
nm0316539|Cedric Gibbons|"{""IMDb_ID"":""nm0316539"",""Name"":""CEDRIC GIBBONS"",""Birthday"":""1893-03-23"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""DUBLIN, LEINSTER, IRL"",""Religion"":""CHRISTIANITY - CATHOLIC"",""Ethnicity"":""IRI Sh-AMERICAN""}"|success
nm6750289|Maria Torres|"{""IMDb_ID"":""nm6750289"",""Name"":""MARIA TORRES"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""UNKNOWN"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNK N O Wn""}"|success
nm0932302|Dave Willis|"{""IMDb_ID"":""nm0932302"",""Name"":""DAVE WILLIS"",""Birthday"":""1970-09-10"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""BOSTON, MASSACHUSETTS, USA"",""Religion"":""UNKNOWN"",""Ethnicity"":""AMERICAN""}"|success
nm4919356|Ashley Joiner|"{""IMDb_ID"":""nm4919356"",""Name"":""ASHLEY JOINER"",""Birthday"":""0000-00-00"",""Gender"":""FEMALE"",""Race"":""BLACK"",""Nationality"":""GBR"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""BRITISH""}"|success
nm2965276|Devin Crittenden|"{""IMDb_ID"":""nm2965276"",""Name"":""DEVIN CRITTENDEN"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm0042006|Scott Aukerman|"{""IMDb_ID"":""nm0042006"",""Name"":""SCOTT AUKERMAN"",""Birthday"":""1970-07-stem"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm0060114|Tamara Bass|"{""IMDb_ID"":""nm0060114"",""Name"":""TAMARA BASS"",""Birthday"":""0000-00-00"",""Gender"":""FEMALE"",""Race"":""BLACK"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""AFRICAN-AMERICAN""}"|success
nm2060660|Josep Maria Domènech|"{""IMDb_ID"":""nm2060660"",""Name"":""JOSEP MARIA DOMENECH"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""UNKNOWN"",""Nationality"":""ESP"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""CATALAN-SPANISH""}"|success
nm0524900|Dariela Ludlow Deloya|"{""IMDb_ID"":""nm0524900"",""Name"":""DARIELA LUDLOW DELOYA"",""Birthday"":""0000-00-00"",""Gender"":""FEMALE"",""Race"":""WHITE"",""Nationality"":""MEX"",""Birthplace"":""UNKNOWN"",""Religion"":""CHRISTIANITY - CATHOLIC"",""Ethnicity"":""MEXI CAN""}"|success
nm3486401|Paul Gerrard|"{""IMDb_ID"":""nm3486401"",""Name"":""PAUL GERRARD"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""UNKNOWN"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm0674919|Sue Perrotto|"{""IMDb_ID"":""nm0674919"",""Name"":""SUE PERROTTO"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""UNKNOWN"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNK Nown""}"|success
nm0375477|Jerome Hellman|"{""IMDb_ID"":""nm0375477"",""Name"":""JEROME HELLMAN"",""Birthday"":""1928-09-04"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""NEW YORK CITY, NEW YORK, USA"",""Religion"":""JUDAISM"",""Ethnicity"":""ASHKENAZI JEWISH""}"|success
nm2802013|Michael Penning|"{""IMDb_ID"":""nm2802013"",""Name"":""MICHAEL PENNING"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""CAN"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm0909853|Sean Walsh|"{""IMDb_ID"":""nm0909853"",""Name"":""SEAN WALSH"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""IRL"",""Birthplace"":""UNKNOWN"",""Religion"":""CHRISTIANITY - CATHOLIC"",""Ethnicity"":""IRISH""}"|success
nm0791542|Eldar Shengelaia|"{""IMDb_ID"":""nm0791542"",""Name"":""ELDAR SHENGELAIA"",""Birthday"":""1933-08-26"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""GEO"",""Birthplace"":""TBILISI, GEORGIA, GEO"",""Religion"":""NO RELIGION"",""Ethnicity"":""UNKNOWN""}"|success
nm0000368|Laura Dern|"{""IMDb_ID"":""nm0000368"",""Name"":""LAURA DERN"",""Birthday"":""1967-02-10"",""Gender"":""FEMALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""LOS ANGELES, CALIFORNIA, USA"",""Religion"":""UNKNOWN"",""Ethnicity"":""AMERICAN OF ENGLISH AND GERMAN DESCENT""}"|success
nm0244756|Richard Dutcher|"{""IMDb_ID"":""nm0244756"",""Name"":""RICHARD DUTCHER"",""Birthday"":""1964-05-06"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""CHRISTIANITY - CATHOLIC"",""Ethnicity"":""UNKNOWN""}"|success
nm1249945|Shaad Ali|"{""IMDb_ID"":""nm1249945"",""Name"":""SHAAD ALI"",""Birthday"":""1973-01-01"",""Gender"":""MALE"",""Race"":""ASIAN"",""Nationality"":""IND"",""Birthplace"":""NEW DELHI, DELHI, IND"",""Religion"":""ISLAM"",""Ethnicity"":""INDIAN""}"|success
nm0000829|Stuart Baird|"{""IMDb_ID"":""nm0000829"",""Name"":""STUART BAIRD"",""Birthday"":""1947-04-13"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""GBR"",""Birthplace"":""UNITED KINGDOM"",""Religion"":""UNKNOWN"",""Ethnicity"":""BRITISH""}"|success
nm2268014|Ayumu Watanabe|"{""IMDb_ID"":""nm2268014"",""Name"":""AYUMU WATANABE"",""Birthday"":""1966-00-00"",""Gender"":""MALE"",""Race"":""ASIAN"",""Nationality"":""JPN"",""Birthplace"":""JAPAN"",""Religion"":""UNKNOWN"",""Ethnicity"":""JAPANESE""}"|success
nm1192521|Suzanne Raes|"{""IMDb_ID"":""nm1192521"",""Name"":""SUZANNE RAES"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""UNKNOWN"",""Nationality"":""UNK"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm0464945|Marek Kondrat|"{""IMDb_ID"":""nm0464945"",""Name"":""MAREK KONDRAT"",""Birthday"":""1950-11-21"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""POL"",""Birthplace"":""KRAKOW, LESSER POLAND, POL"",""Religion"":""CHRISTIANITY - CATHOLIC"",""Ethnicity"":""POL ISH""}"|success
nm0070644|Carmelo Bene|"{""IMDb_ID"":""nm0070644"",""Name"":""CARMELO BENE"",""Birthday"":""1937-09-01"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""ITA"",""Birthplace"":""CAMPI SALENTINA, PUGLIA, ITA"",""Religion"":""NO RELIGION"",""Ethnicity"":""ITALIAN""}"|success
nm12417381|Raphaël Meyssan|"{""IMDb_ID"":""nm12417381"",""Name"":""RAPHAEL MEYSSAN"",""Birthday"":""0000-00-00"",""Gender"":""FEMALE"",""Race"":""WHITE"",""Nationality"":""FRA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""FRENCH""}"|success
nm0884547|Tonino Valerii|"{""IMDb_ID"":""nm0884547"",""Name"":""TONINO VALERII"",""Birthday"":""1934-05-20"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""ITA"",""Birthplace"":""VERONA, VENETO, ITA"",""Religion"":""CHRISTIANITY - CATHOLIC"",""Ethnicity"":""ITALIAN""}"|success
nm0563520|Francesco Mazzei|"{""IMDb_ID"":""nm0563520"",""Name"":""FRANCESCO MAZZEI"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""ITA"",""Birthplace"":""UNKNOWN"",""Religion"":""CHRISTIANITY - CATHOLIC"",""Ethnicity"":""ITA Lia N""}"|success
nm0476990|Leonid Kvinikhidze|"{""IMDb_ID"":""nm0476990"",""Name"":""LEONID KVINIKHIDZE"",""Birthday"":""1937-05-02"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""GEO"",""Birthplace"":""TBILISI, GEORGIA, USSR"",""Religion"":""CHRISTIANITY - ORTHODOX"",""Ethnicity"":""GEO RGI AN""}"|success
nm0366096|Kara Harshbarger|"{""IMDb_ID"":""nm0366096"",""Name"":""KARA HARSHBARGER"",""Birthday"":""0000-00-00"",""Gender"":""FEMALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm3127108|Christoffer Nordenrot|"{""IMDb_ID"":""nm3127108"",""Name"":""CHRISTOFFER NORDENROT"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""SWE"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""SWEDISH""}"|success
nm3616670|Aya Koretzky|"{""IMDb_ID"":""nm3616670"",""Name"":""AYA KORETZKY"",""Birthday"":""0000-00-00"",""Gender"":""FEMALE"",""Race"":""ASIAN"",""Nationality"":""JPN"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""JAPANESE""}"|success
nm0631860|Elena Nikolaeva|"{""IMDb_ID"":""nm0631860"",""Name"":""ELENA NIKOLAEVA"",""Birthday"":""0000-00-00"",""Gender"":""FEMALE"",""Race"":""WHITE"",""Nationality"":""RUS"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""RUSSIAN""}"|success
nm0948572|Christine Yoo|"{""IMDb_ID"":""nm0948572"",""Name"":""CHRISTINE YOO"",""Birthday"":""0000-00-00"",""Gender"":""FEMALE"",""Race"":""ASIAN"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""KOREAN-AMERICAN""}"|success
nm1396561|Jeff Cheung|"{""IMDb_ID"":""nm1396561"",""Name"":""JEFF CHEUNG"",""Birthday"":""0000-00-00"",""Gender"":""MALE"",""Race"":""ASIAN"",""Nationality"":""HKG"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""CANTONESE CHINESE""}"|success
nm0061608|Luigi Batzella|"{""IMDb_ID"":""nm0061608"",""Name"":""LUIGI BATZELLA"",""Birthday"":""1930-01-01"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""ITA"",""Birthplace"":""ITALY"",""Religion"":""CHRISTIANITY - CATHOLIC"",""Ethnicity"":""ITALIAN""}"|success
nm0000116|James Cameron|"{""IMDb_ID"":""nm0000116"",""Name"":""JAMES CAMERON"",""Birthday"":""1954-08-16"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""CAN"",""Birthplace"":""KAPUSKASING, ONTARIO, CAN"",""Religion"":""NO RELIGION"",""Ethnicity"":""CANADIAN OF ENGLISH, SCOTTISH, AND IRISH DESCENT""}"|success
nm4796756|Nadine Mundo|"{""IMDb_ID"":""nm4796756"",""Name"":""NADINE MUNDO"",""Birthday"":""0000-00-00"",""Gender"":""UNKNOWN"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""UNKNOWN""}"|success
nm0448311|Rory Kennedy|"{""IMDb_ID"":""nm0448311"",""Name"":""RORY KENNEDY"",""Birthday"":""1968-12-12"",""Gender"":""FEMALE"",""Race"":""WHITE"",""Nationality"":""USA"",""Birthplace"":""WASHINGTON, DISTRICT OF COLUMBIA, USA"",""Religion"":""CHRISTIANITY - CATHOLIC"",""Ethnicity"":""IRISH-AMERICAN""}"|success
nm2924350|Adina Pintilie|"{""IMDb_ID"":""nm2924350"",""Name"":""ADINA PINTILIE"",""Birthday"":""1980-00-00"",""Gender"":""FEMALE"",""Race"":""WHITE"",""Nationality"":""ROU"",""Birthplace"":""BUCHAREST, BUCHAREST, ROU"",""Religion"":""UNKNOWN"",""Ethnicity"":""ROMANIAN""}"|success
nm0582614|Barnaby Metschurat|"{""IMDb_ID"":""nm0582614"",""Name"":""BARNABY METSCHURAT"",""Birthday"":""1975-04-15"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""DEU"",""Birthplace"":""BERLIN, BERLIN, DEU"",""Religion"":""UNKNOWN"",""Ethnicity"":""GERMAN""}"|success
nm2244239|Craig Viveiros|"{""IMDb_ID"":""nm2244239"",""Name"":""CRAIG VIVEIROS"",""Birthday"":""1977-00-00"",""Gender"":""MALE"",""Race"":""WHITE"",""Nationality"":""GBR"",""Birthplace"":""UNKNOWN"",""Religion"":""UNKNOWN"",""Ethnicity"":""BRITISH""}"|success
